customeraccount,sexo,cp,ciudad,estado,cve_prom,cve_suc,cve_zona,edo_civil
1-294800-UH,M,27148,TORREON,COAHUILA DE ZARAGOZA,W4248,424,9932.0,S
1-825939-SH,F,44100,GUADALAJARA,JALISCO,W1048,104,6150.0,C
1-406791-GJ,M,47170,SAN JULIAN,JALISCO,W1651,165,6150.0,C
1-674845-PX,F,28018,COLIMA,COLIMA,X9611,1961,6150.0,C
1-713110-DZ,M,72570,PUEBLA,PUEBLA,Z0323,3032,9933.0,C
1-938226-CV,F,72430,PUEBLA,PUEBLA,Z0323,3032,9933.0,S
1-557858-LT,M,72420,PUEBLA,PUEBLA,V0391,1108,9933.0,C
1-511690-VM,F,97000,MERIDA,YUCATAN,W3752,375,9610.0,C
1-487680-FH,M,54020,TLALNEPANTLA,MEXICO,V0314,3557,9934.0,C
1-109093-YR,M,48900,AUTLAN DE NAVARRO,JALISCO,V0324,159,6150.0,C
1-243546-R\,F,44630,GUADALAJARA,JALISCO,V0112,714,6150.0,C
1-956848-CN,M,51950,TONATICO,MEXICO,W0018,1,4831.0,S
1-174414-Q\,M,63507,TEPIC,NAYARIT,W1718,171,6150.0,C
1-232057-IA,M,82120,MAZATLAN,SINALOA,W2043,204,6777.0,C
1-890173-YF,M,48200,TALPA DE ALLENDE,JALISCO,W1638,163,6150.0,C
1-722597-XK,F,62270,CUERNAVACA,MORELOS,W0861,86,4831.0,C
1-772605-ZI,F,15850,VENUSTIANO CARRANZA,CIUDAD DE MEXICO,W5422,542,4831.0,S
1-592983-LR,M,83250,HERMOSILLO,SONORA,W9271,927,6777.0,C
1-674839-DX,M,47270,ENCARNACION DE DIAZ,JALISCO,W1563,156,9931.0,C
1-355893-AC,F,28870,MANZANILLO,COLIMA,W1528,152,6150.0,C
1-519616-TA,F,92870,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,V0292,342,9933.0,S
1-859862-LK,F,72410,PUEBLA,PUEBLA,W3148,314,9933.0,C
1-218462-YX,F,66236,SAN PEDRO GARZA GARCIA,NUEVO LEON,X6348,1634,9932.0,C
1-230523-XY,F,1710,ALVARO OBREGON,CIUDAD DE MEXICO,W5848,584,4831.0,D
1-409844-PP,F,91030,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,W3344,334,9933.0,D
1-478833-E[,M,47170,SAN JULIAN,JALISCO,W1651,165,6150.0,C
1-515907-NB,F,14300,TLALPAN,CIUDAD DE MEXICO,V0025,643,4831.0,D
1-358104-[G,M,24154,CARMEN,CAMPECHE,V0546,1865,9610.0,C
1-461242-T\,M,73160,HUAUCHINANGO,PUEBLA,V0553,327,9933.0,C
1-668688-VP,F,2780,AZCAPOTZALCO,CIUDAD DE MEXICO,V0056,50,9934.0,S
1-744702-IR,M,2670,AZCAPOTZALCO,CIUDAD DE MEXICO,V0320,433,9934.0,C
1-636980-HV,F,3100,BENITO JUAREZ,CIUDAD DE MEXICO,V0090,67,4831.0,C
1-518163-[F,M,1790,ALVARO OBREGON,CIUDAD DE MEXICO,W1011,101,6777.0,C
1-211493-VF,M,45237,ZAPOPAN,JALISCO,Z0154,3015,4831.0,C
1-770431-GW,M,37297,LEON,GUANAJUATO,X8923,1892,9931.0,C
1-581454-GY,M,52929,ATIZAPAN DE ZARAGOZA,MEXICO,W0684,68,9934.0,S
