customeraccount,sexo,cp,ciudad,estado,cve_prom,cve_suc,cve_zona,edo_civil,CVE_SUC,NOM_SUC,CVE_ZONA,NOM_ZONA,CVE_COORD,NOM_COORD,latitud,longitud
1-294800-UH,M,27148,TORREON,COAHUILA DE ZARAGOZA,W4248,424,9932.0,S,424,SUC. LOS ANGELES,9932,D DIV RB NORTE,8727,N09 - TORREON,25.5514883,-103.4506568
1-825939-SH,F,44100,GUADALAJARA,JALISCO,W1048,104,6150.0,C,104,SUC. PROVINCIAL,6150,D DIV RB OCCIDENTE,6056,O02 - GUADALAJARA,20.674935,-103.3474109
1-406791-GJ,M,47170,SAN JULIAN,JALISCO,W1651,165,6150.0,C,165,SUC. SAN JULIAN,6150,D DIV RB OCCIDENTE,6053,O05 - ALTOS JALISCO,21.0086847,-102.1831758
1-674845-PX,F,28018,COLIMA,COLIMA,X9611,1961,6150.0,C,1961,SUC. SEVILLA DEL RIO,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA,19.2626442,-103.6936197
1-713110-DZ,M,72570,PUEBLA,PUEBLA,Z0323,3032,9933.0,C,3032,SUC. REFORMA CENTRO,9933,D DIV RB  SUR,5223,S02 - PUEBLA,19.008832,-98.1929188
1-938226-CV,F,72430,PUEBLA,PUEBLA,Z0323,3032,9933.0,S,3032,SUC. REFORMA CENTRO,9933,D DIV RB  SUR,5223,S02 - PUEBLA,19.024271,-98.2186344
1-557858-LT,M,72420,PUEBLA,PUEBLA,V0391,1108,9933.0,C,1108,SUC. HUEXOTITLA,9933,D DIV RB  SUR,5223,S02 - PUEBLA,19.0301911,-98.2106838
1-511690-VM,F,97000,MERIDA,YUCATAN,W3752,375,9610.0,C,375,SUC.SANTIAGO,9610,D DIV RB PENINSULAR,9308,P05 - PENINSULA,20.9688726,-89.6234251
1-487680-FH,M,54020,TLALNEPANTLA,MEXICO,V0314,3557,9934.0,C,3557,SUC. REFORMA PALMERA,9934,D DIV RB METRO NORTE,9764,MN02 - REFORMA,19.5631434,-99.20784
1-109093-YR,M,48900,AUTLAN DE NAVARRO,JALISCO,V0324,159,6150.0,C,159,SUC. AUTLAN SUC. ASIG.III,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA,19.7676272,-104.3727414
1-243546-R\,F,44630,GUADALAJARA,JALISCO,V0112,714,6150.0,C,714,SUC. CONCENTRO,6150,D DIV RB OCCIDENTE,6135,O01 - GUADALAJARA,20.6986377,-103.3755846
1-956848-CN,M,51950,TONATICO,MEXICO,W0018,1,4831.0,S,1,SUC. JUAREZ.,4831,D DIV RB METRO SUR,5202,MS02 - CENTRO,18.8037819,-99.6675231
1-174414-Q\,M,63507,TEPIC,NAYARIT,W1718,171,6150.0,C,171,SUC. TEPIC CENTRO,6150,D DIV RB OCCIDENTE,6050,O04 -GUADALAJARA,21.5597619,-104.9740181
1-232057-IA,M,82120,MAZATLAN,SINALOA,W2043,204,6777.0,C,204,SUC. MAZATLAN CARRASCO,6777,D DIV  RB NOROESTE,7218,NO08 - SINALOA NORTE,23.2445495,-106.4262632
1-890173-YF,M,48200,TALPA DE ALLENDE,JALISCO,W1638,163,6150.0,C,163,SUC. PUERTO VALLARTA,6150,D DIV RB OCCIDENTE,6050,O04 -GUADALAJARA,20.3809444,-104.824102
1-722597-XK,F,62270,CUERNAVACA,MORELOS,W0861,86,4831.0,C,86,SUC. CUERNAVACA LA SELVA,4831,D DIV RB METRO SUR,5814,MS06 - MORELOS,18.9377442,-99.2351681
1-772605-ZI,F,15850,VENUSTIANO CARRANZA,CIUDAD DE MEXICO,W5422,542,4831.0,S,542,SUC. BOUTURINI,4831,D DIV RB METRO SUR,5202,MS02 - CENTRO,19.4081456,-99.1182508
1-592983-LR,M,83250,HERMOSILLO,SONORA,W9271,927,6777.0,C,927,SUC. CENTENARIO,6777,D DIV  RB NOROESTE,7009,NO04 - HERMOSILLO,29.0781313,-110.9764875
1-674839-DX,M,47270,ENCARNACION DE DIAZ,JALISCO,W1563,156,9931.0,C,156,SUC. ENCARNACION,9931,D DIV RB CENTRO,6204,C01 - LEON,21.5320748,-102.2376678
1-355893-AC,F,28870,MANZANILLO,COLIMA,W1528,152,6150.0,C,152,SUC. MANZANILLO,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA,19.1161592,-104.2670524
1-519616-TA,F,92870,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,V0292,342,9933.0,S,342,SUC. TUXPAN,9933,D DIV RB  SUR,8611,S06 - POZA RICA,20.9461142,-97.3859553
1-859862-LK,F,72410,PUEBLA,PUEBLA,W3148,314,9933.0,C,314,SUC.LOS ANGELES,9933,D DIV RB  SUR,5218,S01 - PUEBLA,19.0379141,-98.215767
