NUM_CTE,OFER_6M,NUM_OFER,FRESCURA
1-528206-IG,4.0,10.0,Regular   
1-437406-CC,2.0,4.0,Irregular 
1-626786-GP,2.0,2.0,Irregular 
1-222790-TX,3.0,3.0,Regular   
1-639424-XP,1.0,1.0,Fresco    
1-678255-FF,1.0,2.0,Fresco    
1-202012-VR,1.0,3.0,Fresco    
1-759676-ZM,4.0,12.0,Regular   
1-217080-XB,1.0,2.0,Fresco    
1-427275-SW,4.0,6.0,Regular   
1-499060-GK,3.0,4.0,Regular   
1-372015-EE,4.0,5.0,Regular   
1-762686-OS,1.0,2.0,Fresco    
1-351900-AK,2.0,4.0,Irregular 
1-874370-[D,2.0,4.0,Irregular 
1-865201-RC,3.0,5.0,Regular   
1-268020-IY,4.0,8.0,Regular   
1-394962-ZA,2.0,2.0,Irregular 
1-462256-SF,3.0,4.0,Regular   
1-737823-BP,1.0,3.0,Fresco    
1-669173-MW,2.0,2.0,Irregular 
1-341410-UK,2.0,4.0,Irregular 
1-211984-DB,2.0,5.0,Irregular 
1-914502-MC,2.0,6.0,Irregular 
1-570138-WS,2.0,4.0,Irregular 
1-410873-EV,3.0,5.0,Regular   
1-687384-HS,4.0,9.0,Regular   
1-182864-UP,3.0,7.0,Regular   
1-699515-PO,3.0,5.0,Regular   
1-384392-RC,2.0,2.0,Irregular 
1-323640-KA,4.0,11.0,Regular   
1-538107-TJ,4.0,10.0,Regular   
1-554965-IP,3.0,6.0,Regular   
1-965777-FW,3.0,4.0,Regular   
1-681239-IX,4.0,11.0,Regular   
1-428228-VB,4.0,7.0,Regular   
1-247820-IE,4.0,6.0,Regular   
1-154550-GB,4.0,11.0,Regular   
1-843890-BI,2.0,6.0,Irregular 
1-194734-[U,3.0,9.0,Regular   
1-993091-CI,4.0,10.0,Regular   
1-272990-[E,3.0,3.0,Regular   
1-948290-KI,3.0,7.0,Regular   
1-679454-YQ,4.0,4.0,Regular   
1-586761-AH,3.0,6.0,Regular   
1-508172-[P,2.0,2.0,Irregular 
1-558278-QJ,3.0,8.0,Regular   
1-695981-BV,4.0,12.0,Regular   
1-428561-HW,3.0,5.0,Regular   
1-844070-V\,3.0,3.0,Regular   
1-185720-K[,2.0,3.0,Irregular 
1-565878-GE,4.0,7.0,Regular   
1-123782-KU,4.0,12.0,Regular   
1-896405-AQ,2.0,3.0,Irregular 
1-423767-EJ,3.0,4.0,Regular   
1-258649-ZJ,2.0,5.0,Irregular 
1-392660-SH,1.0,1.0,Fresco    
1-958477-XP,2.0,3.0,Irregular 
1-516395-HA,4.0,11.0,Regular   
1-419152-OO,2.0,6.0,Irregular 
1-979396-JO,1.0,1.0,Fresco    
1-331356-MX,4.0,8.0,Regular   
1-994345-IT,4.0,12.0,Regular   
1-739982-DJ,4.0,6.0,Regular   
1-208341-WG,4.0,11.0,Regular   
1-729949-DS,4.0,12.0,Regular   
1-140060-SU,4.0,6.0,Regular   
1-287142-XA,1.0,1.0,Fresco    
1-473183-QX,1.0,3.0,Fresco    
1-448622-FO,3.0,9.0,Regular   
1-169844-S\,4.0,10.0,Regular   
1-422926-ML,4.0,8.0,Regular   
1-132373-PA,1.0,3.0,Fresco    
1-435008-DY,3.0,6.0,Regular   
1-525194-XC,4.0,6.0,Regular   
1-475745-Z\,4.0,8.0,Regular   
1-535694-US,3.0,6.0,Regular   
1-728111-HT,4.0,6.0,Regular   
1-835435-UB,2.0,3.0,Irregular 
1-124891-TB,2.0,2.0,Irregular 
1-889212-KB,2.0,2.0,Irregular 
1-245423-WN,1.0,3.0,Fresco    
1-915221-TY,1.0,2.0,Fresco    
1-119806-NM,4.0,11.0,Regular   
1-921771-QZ,2.0,5.0,Irregular 
1-720496-UG,4.0,8.0,Regular   
1-773825-L\,3.0,3.0,Regular   
1-307767-AI,4.0,8.0,Regular   
1-535946-NL,4.0,4.0,Regular   
1-643343-FL,4.0,7.0,Regular   
1-811805-CQ,3.0,8.0,Regular   
1-579737-EG,4.0,11.0,Regular   
1-210188-F[,4.0,6.0,Regular   
