NUM_CTE,PRODUCTO,SUBPROD,ID_PROCESO,DESTINO,TIPO_CTE,COTIZACION,TIPO_OFERTA,DES_PROD,DES_PROD_GLOBAL,FLUJO,TEST_FLUJO,TIPO_PRODUCTO,VIGENCIA,LINEA_APROBADA_LEAP,TIPO_LINEA,ESTATUS_OFERTA_ORIGEN,ESTATUS_OFERTAS_003,ERROR_RECHAZO,DESCRIP_ESTATUS_021,TIPO_TDC,DESCRIP_TIPO_TDC,TIPO,OBSERVACION,BITACORA_CAMBIOS,BAJA,FECHA_BAJA,FEC_ULT_ACT_ST_021,FEC_PROCESO,MES_INFORMACION,MES_INFO_EVAL,MES_CAMPANA,LLAVE_MULT
1-920075-GV,004,002,801,1000001.0,1000004.0,8776.0,Preaprobado,Credito Personal,Consumo,Corto,2.0,CP Corto  ,20200102.0,250000.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,138008000400280120200102                                                                            
1-635907-XP,001,002,901,1000002.0,1000001.0,99.0,Preaprobado,Grabacion Automática,Tarjetas,Corto,2.0,TDC       ,20200102.0,0.0,Revolvente,==> LEAP,Rechazado,135.0,Sin Producto en APSC,60.0,PR,1.0,,                                                                                                    ,NO,0.0,0.0,20191102.0,201909.0,201910.0,201911.0,39643500100290120200102                                                                             
1-336337-TT,001,002,901,1000002.0,1000003.0,99.0,Preaprobado,Grabacion Automática,Tarjetas,Corto,2.0,TDC       ,20200102.0,70000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,78.0,ZE,1.0,,                                                                                                    ,NO,0.0,0.0,20191102.0,201909.0,201910.0,201911.0,55530500100290120200102                                                                             
1-255718-AV,001,002,901,1000002.0,1000004.0,99.0,Preaprobado,Grabacion Automática,Tarjetas,Corto,1.0,TDC       ,20200102.0,5000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,78.0,ZE,1.0,,                                                                                                    ,NO,0.0,0.0,20191102.0,201909.0,201910.0,201911.0,117981500100290120200102                                                                            
1-255718-AV,004,007,801,1000003.0,1000004.0,9257.0,Preaprobado,Disposicion Inmediata Credito Personal,Consumo,Corto,1.0,DI CP     ,20200102.0,16000.0,Revolvente,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,117981500400780120200102                                                                            
1-315002-WT,004,002,002,1000001.0,1000004.0,8776.0,Preaprobado,Credito Personal,Consumo,Largo,2.0,CP        ,20200102.0,138990.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,128834500400200220200102                                                                            
1-577269-LX,001,002,002,1000001.0,1000003.0,99.0,Preaprobado,Tarjeta de Credito Preaprobado,Tarjetas,Largo,2.0,TDC       ,20200102.0,0.0,Revolvente,==> LEAP,Rechazado,135.0,Sin Producto en APSC,79.0,ZE,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,130579500100200220200102                                                                            
1-600755-FF,001,002,002,1000001.0,1000004.0,99.0,Preaprobado,Tarjeta de Credito Preaprobado,Tarjetas,Largo,2.0,TDC       ,20200102.0,150000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,73.0,2N,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,322037500100200220200102                                                                            
1-455697-NH,002,002,002,1000001.0,1000006.0,99.0,Preaprobado,Inmediauto,Autos,Largo,2.0,INM       ,20200102.0,400000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,78682000200200220200102                                                                             
1-609965-MF,002,002,002,1000001.0,1000004.0,99.0,Preaprobado,Inmediauto,Autos,Largo,1.0,INM       ,20200102.0,400000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,144743000200200220200102                                                                            
1-923296-K[,004,002,002,1000001.0,1000004.0,8776.0,Preaprobado,Credito Personal,Consumo,Largo,2.0,CP        ,20200102.0,250009.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,176761000400200220200102                                                                            
1-276208-HT,002,002,002,1000001.0,1000004.0,99.0,Preaprobado,Inmediauto,Autos,Largo,2.0,INM       ,20200102.0,400000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,402135000200200220200102                                                                            
1-665540-SA,001,002,901,1000002.0,1000006.0,99.0,Preaprobado,Grabacion Automática,Tarjetas,Corto,2.0,TDC       ,20200102.0,135000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,72.0,2N,1.0,,                                                                                                    ,NO,0.0,0.0,20191102.0,201909.0,201910.0,201911.0,426796000100290120200102                                                                            
1-823395-ZP,004,002,002,1000001.0,1000006.0,8900.0,Preaprobado,Credito Personal,Consumo,Largo,3.0,CP        ,20200102.0,165000.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,33087000400200220200102                                                                             
1-920075-GV,002,002,002,1000001.0,1000004.0,99.0,Preaprobado,Inmediauto,Autos,Largo,2.0,INM       ,20200102.0,400000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,138008000200200220200102                                                                            
1-794959-W\,004,001,801,1000001.0,2000027.0,3975.0,Preaprobado,Anticipo de Nomina,Consumo,Corto,2.0,AN Corto  ,20200102.0,21001.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,194367500400180120200102                                                                            
1-617482-BQ,001,002,901,1000002.0,1000006.0,99.0,Preaprobado,Grabacion Automática,Tarjetas,Corto,1.0,TDC       ,20200102.0,5000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,79.0,ZE,1.0,,                                                                                                    ,NO,0.0,0.0,20191102.0,201909.0,201910.0,201911.0,207045500100290120200102                                                                            
1-521910-ST,004,007,801,1000003.0,1000004.0,1715.0,Preaprobado,Disposicion Inmediata Credito Personal,Consumo,Corto,1.0,DI CP     ,20200102.0,70000.0,Revolvente,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,212141000400780120200102                                                                            
1-333328-RM,002,002,002,1000001.0,1000004.0,99.0,Preaprobado,Inmediauto,Autos,Largo,1.0,INM       ,20200102.0,284000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,173101000200200220200102                                                                            
1-834714-XU,004,002,002,1000001.0,2000094.0,4625.0,Preaprobado,Credito Personal,Consumo,Largo,1.0,CP        ,20200102.0,360016.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,203930500400200220200102                                                                            
1-840035-DO,001,002,901,1000002.0,1000004.0,99.0,Preaprobado,Grabacion Automática,Tarjetas,Corto,2.0,TDC       ,20200102.0,5000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,78.0,ZE,1.0,,                                                                                                    ,NO,0.0,0.0,20191102.0,201909.0,201910.0,201911.0,213700500100290120200102                                                                            
1-840035-DO,004,002,801,1000001.0,2000105.0,470.0,Preaprobado,Credito Personal,Consumo,Corto,2.0,CP Corto  ,20200102.0,250000.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,213700500400280120200102                                                                            
1-961212-GM,004,007,801,1000003.0,1000004.0,1712.0,Preaprobado,Disposicion Inmediata Credito Personal,Consumo,Corto,1.0,DI CP     ,20200102.0,110000.0,Revolvente,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,381512000400780120200102                                                                            
1-276208-HT,004,002,002,1000001.0,1000004.0,8776.0,Preaprobado,Credito Personal,Consumo,Largo,2.0,CP        ,20200102.0,147012.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,402135000400200220200102                                                                            
