customeraccount,tpo_cliente,ID_EPP_AN,ingreso,Tipo_cte,rejection_inm_new,Ingreso_RESELL_PP,SEGMENTO_CTE,Vigencia,Des_Rejection_RAN,Des_Rejection_RPP,Des_Rejection_RINM,HD,Estrategia_1,Estrategia_2,Estrategia_3,Estrategia_4,Estrategia_5,PLAZO_INM,TASA_INM,INM_LC,INM_IMP_CP,RES_FINAL_INM,INM_FCP,CRED_ACTUA_INM,TOTAL_OBLIG_INM,Pago_Mensual_INM,PP_FCP,PP_LC,PP_IMP_CP,Cotizacion_PP,PLAZO_PP,TPO_CLIENTE_PP,TOTAL_OBLIG_PP,TASA_PP,Res_Final_PP,Bnd_Base_Resell_PP,Pago_Mensual_PP,Cred_Actua_PP,TOTAL_OBLIG_AN,RN_OFTA_PERM,PLAZO_AN,AN_FCP,TASA_AN,Cotizacion_AN,AN_LC,AN_IMP_CP,Res_Final_AN,Pago_Mensual_AN,Cred_Actua_AN,Test_Flujo
1-405573-[\,Captacion,,5413.22,,,0.0,Mass,,1.1.No eval para Top up,1.1.No eval para Top up,1.1.No eval para Top up,0.0,0.0,2.0,0.0,NA,NA,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,2.0
1-800322-OV,Captacion,,9521.55,,,0.0,Mass,,1.1.No eval para Top up,1.1.No eval para Top up,1.1.No eval para Top up,0.0,0.0,2.0,0.0,NA,NA,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,2.0
1-402754-VG,Captacion,,8143.16,,,0.0,Mass,,1.1.No eval para Top up,1.1.No eval para Top up,1.1.No eval para Top up,0.0,0.0,2.0,0.0,NA,NA,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,3.0
1-424328-PB,Credito,,5533.74,,,9989.280252124689,Advance,2020-02-01,1.1.No eval para Top up,2.1.Approved,1.1.No eval para Top up,0.0,0.0,2.0,0.0,NA,NA,,,,,2.0,,,,,0.5,218000.0,9304.7473966,3797.0,60.0,1000006.0,0.0,39.49,1.0,2.0,9304.7473966,62387343.0,,,,,,,,,2.0,,,2.0
1-753702-ZW,Credito,,646.98,,,0.0,Mass,,1.1.No eval para Top up,1.1.No eval para Top up,1.1.No eval para Top up,0.0,0.0,2.0,0.0,NA,NA,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,2.0
1-473285-XQ,Credito,,9855.37,,,5642.470686238721,Mass,2020-02-01,1.1.No eval para Top up,2.1.Approved,1.1.No eval para Top up,0.0,0.0,2.0,0.0,NA,NA,,,,,2.0,,,,,0.5,205000.0,7400.4338601,1729.0,60.0,1000004.0,1545.23,30.99,1.0,2.0,7400.4338601,83036571.0,,,,,,,,,2.0,,,2.0
1-637186-ON,Credito,,94.56,,,1176.5359050864977,Mass,2020-02-01,1.1.No eval para Top up,2.1.Approved,1.1.No eval para Top up,0.0,0.0,2.0,0.0,NA,NA,,,,,2.0,,,,,0.5,145000.0,4398.9294079,1717.0,60.0,1000004.0,5774.75,22.99,1.0,2.0,4398.9294079,80842000.0,,,,,,,,,2.0,,,1.0
1-626514-JQ,Credito,,6924.38,,,0.0,Advance,,1.1.No eval para Top up,1.1.No eval para Top up,1.1.No eval para Top up,0.0,0.0,2.0,0.0,NA,NA,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,2.0
1-912134-QA,Credito,,8696.49,,,0.0,Premier,,1.1.No eval para Top up,1.1.No eval para Top up,1.1.No eval para Top up,0.0,0.0,2.0,0.0,NA,NA,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,2.0
1-316064-UX,Captacion,,605.06,,,0.0,Premier,,1.1.No eval para Top up,1.1.No eval para Top up,1.1.No eval para Top up,0.0,0.0,2.0,0.0,NA,NA,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,3.0
