CVE_SUC,NOM_SUC,CVE_ZONA,NOM_ZONA,CVE_COORD,NOM_COORD
1,SUC. JUAREZ.,4831,D DIV RB METRO SUR,5202,MS02 - CENTRO
2,SUC. PLAZA DORADA,9934,D DIV RB METRO NORTE,5209,MN09 - ECATEPEC
3,SUC. MERCED,4831,D DIV RB METRO SUR,5202,MS02 - CENTRO
5,SUC. XOCHIMILCO,4831,D DIV RB METRO SUR,5215,MS07 - XOCHIMILCO
6,SUC. DONCELES,4831,D DIV RB METRO SUR,5202,MS02 - CENTRO
7,SUC. PARQUES POLANCO,9934,D DIV RB METRO NORTE,9764,MN02 - REFORMA
9,SUC. TACUBAYA,4831,D DIV RB METRO SUR,5231,MS03 - FELIX CUEVAS
10,SUC. SAN COSME,9934,D DIV RB METRO NORTE,9764,MN02 - REFORMA
11,SUC. COYOACAN,4831,D DIV RB METRO SUR,5212,MS08 - COYOACAN
12,SUC. DOCTORES,4831,D DIV RB METRO SUR,5202,MS02 - CENTRO
13,SUC. TLALNEPANTLA,9934,D DIV RB METRO NORTE,5238,MN07 - CUAUTITLAN
14,SUC. TEXCOCO,9934,D DIV RB METRO NORTE,5209,MN09 - ECATEPEC
15,SUC. NARVARTE,4831,D DIV RB METRO SUR,5202,MS02 - CENTRO
16,SUC. MEDELLIN,9934,D DIV RB METRO NORTE,5224,MN05 - CONDESA ROMA
17,SUC. ZONA ROSA,9934,D DIV RB METRO NORTE,5224,MN05 - CONDESA ROMA
18,SUC. GUADALUPE,9934,D DIV RB METRO NORTE,5224,MN05 - CONDESA ROMA
19,SUC. POLANCO,9934,D DIV RB METRO NORTE,9764,MN02 - REFORMA
20,SUC. LAS AGUILAS,4831,D DIV RB METRO SUR,5230,MS01 - ALTAVISTA
21,SUC. NAUCALPAN,9934,D DIV RB METRO NORTE,5205,MN04 - SATELITE
22,SUC. NONOALCO,9934,D DIV RB METRO NORTE,5224,MN05 - CONDESA ROMA
23,SUC. LOMAS,9934,D DIV RB METRO NORTE,5235,MN03 - SANTA FE
24,SUC. ALAMOS,4831,D DIV RB METRO SUR,5202,MS02 - CENTRO
25,SUC. CUAJIMALPA,9934,D DIV RB METRO NORTE,5235,MN03 - SANTA FE
26,SUC. GUARDIOLA,4831,D DIV RB METRO SUR,5202,MS02 - CENTRO
27,SUC. VILLA,9934,D DIV RB METRO NORTE,5206,MN06 - LINDAVISTA
28,SUC. SAN ANGEL,4831,D DIV RB METRO SUR,5212,MS08 - COYOACAN
29,SUC. HUIPULCO,4831,D DIV RB METRO SUR,5214,MS05 - PEDREGAL
30,SUC. CHALCO,4831,D DIV RB METRO SUR,5213,MS09 - IZTAPALAPA
31,SUC. IZTAPALAPA,4831,D DIV RB METRO SUR,5212,MS08 - COYOACAN
32,SUC. PREMIER,4831,D DIV RB METRO SUR,5215,MS07 - XOCHIMILCO
34,SUC. VALLEJO,9934,D DIV RB METRO NORTE,5206,MN06 - LINDAVISTA
35,SUC. SANTA CLARA,9934,D DIV RB METRO NORTE,5209,MN09 - ECATEPEC
36,SUC. MIXCOAC,4831,D DIV RB METRO SUR,5230,MS01 - ALTAVISTA
38,SUC. PLAZA CANTIL,4831,D DIV RB METRO SUR,5215,MS07 - XOCHIMILCO
39,SUC. SAN JERONIMO,4831,D DIV RB METRO SUR,5230,MS01 - ALTAVISTA
40,SUC. LINDAVISTA,9934,D DIV RB METRO NORTE,5206,MN06 - LINDAVISTA
41,SUC. REFORMA,9934,D DIV RB METRO NORTE,9764,MN02 - REFORMA
42,SUC. AEROPUERTO SALA A,4831,D DIV RB METRO SUR,5226,MS10 - AEROPUERTO
44,SUC. INSURGENTES NAPOLES,4831,D DIV RB METRO SUR,5231,MS03 - FELIX CUEVAS
45,SUC. XALOSTOC,9934,D DIV RB METRO NORTE,5209,MN09 - ECATEPEC
47,SUC. ZARAGOZA,4831,D DIV RB METRO SUR,5226,MS10 - AEROPUERTO
48,SUC. CUAUTITLAN,9934,D DIV RB METRO NORTE,5238,MN07 - CUAUTITLAN
49,SUC. TENANCINGO,9934,D DIV RB METRO NORTE,5207,MN01 - TOLUCA
50,SUC. AZCAPOTZALCO,9934,D DIV RB METRO NORTE,5206,MN06 - LINDAVISTA
51,SUC. VALLE DORADO,9934,D DIV RB METRO NORTE,5238,MN07 - CUAUTITLAN
52,SUC. BOSQUES LOMAS,9934,D DIV RB METRO NORTE,5235,MN03 - SANTA FE
53,SUC. ATIZAPAN,9934,D DIV RB METRO NORTE,5238,MN07 - CUAUTITLAN
55,SUC. UNIVERSIDAD,4831,D DIV RB METRO SUR,5231,MS03 - FELIX CUEVAS
57,SUC. AXOMIATLA,4831,D DIV RB METRO SUR,5230,MS01 - ALTAVISTA
58,SUC. GUSTAVO BAZ,9934,D DIV RB METRO NORTE,5205,MN04 - SATELITE
59,SUC. PLAZA INN,4831,D DIV RB METRO SUR,5212,MS08 - COYOACAN
60,SUC. CENTRAL DE ABASTOS,4831,D DIV RB METRO SUR,5226,MS10 - AEROPUERTO
61,SUC. ISABEL LA CATOLICA,4831,D DIV RB METRO SUR,5202,MS02 - CENTRO
62,SUC. SUPREMA CORTE,4831,D DIV RB METRO SUR,5226,MS10 - AEROPUERTO
63,SUC. HOLBEIN,4831,D DIV RB METRO SUR,5231,MS03 - FELIX CUEVAS
65,SUC. MANUEL IZAGUIRRE,9934,D DIV RB METRO NORTE,5205,MN04 - SATELITE
67,SUC. COAPLAZA,4831,D DIV RB METRO SUR,5215,MS07 - XOCHIMILCO
68,SUC. VILLAS DE LA HACIENDA,9934,D DIV RB METRO NORTE,5238,MN07 - CUAUTITLAN
71,SUC. COPILCO,4831,D DIV RB METRO SUR,5214,MS05 - PEDREGAL
72,SUC. INTERLOMAS,9934,D DIV RB METRO NORTE,5235,MN03 - SANTA FE
73,SUC. PLAZA ZARAGOZA,4831,D DIV RB METRO SUR,5226,MS10 - AEROPUERTO
75,SUC.ACAPULCO COSTERA,9933,D DIV RB  SUR,5225,S08 - GUERRERO
76,SUC. ACAPULCO CENTRO,9933,D DIV RB  SUR,5225,S08 - GUERRERO
77,SUC. NUEVO LEON,9934,D DIV RB METRO NORTE,5224,MN05 - CONDESA ROMA
78,SUC. CIUDAD SAHAGUN,9934,D DIV RB CENTRO,5908,C06 - PACHUCA
79,SUC. BOULEVARD AEROPUERTO,4831,D DIV RB METRO SUR,5226,MS10 - AEROPUERTO
80,SUC. SANTIAGO TIANGUISTENCO,9934,D DIV RB METRO NORTE,5207,MN01 - TOLUCA
82,SUC. PACHUCA,9934,D DIV RB CENTRO,5908,C06 - PACHUCA
83,SUC. TOLUCA ISIDRO FABELA,9934,D DIV RB METRO NORTE,5207,MN01 - TOLUCA
84,SUC. TOLUCA VILLADA,9934,D DIV RB METRO NORTE,5207,MN01 - TOLUCA
85,SUC. CUERNAVACA  CENTRO,4831,D DIV RB METRO SUR,5814,MS06 - MORELOS
86,SUC. CUERNAVACA LA SELVA,4831,D DIV RB METRO SUR,5814,MS06 - MORELOS
88,SUC. CUAUTLA,4831,D DIV RB METRO SUR,5814,MS06 - MORELOS
90,SUC. VALLE DE ARAGON,9934,D DIV RB METRO NORTE,5209,MN09 - ECATEPEC
93,SUC. M.ANGEL DE QUEVEDO,4831,D DIV RB METRO SUR,5212,MS08 - COYOACAN
94,SUC. ZONA INDUSTRIAL,9934,D DIV RB METRO NORTE,5207,MN01 - TOLUCA
95,SUC.  PLAZA IZCALLI,9934,D DIV RB METRO NORTE,5238,MN07 - CUAUTITLAN
98,PALMAS PREMIER,9934,D DIV RB METRO NORTE,5235,MN03 - SANTA FE
99,SUC. TORRE HSBC,9934,D DIV RB METRO NORTE,9764,MN02 - REFORMA
100,SUC. OFICINA CENTRAL GUADALAJA,6150,D DIV RB OCCIDENTE,6049,O03 - GUADALAJARA
101,SUC. TIJUANA,6777,D DIV  RB NOROESTE,7489,NO02 - PACIFICO NORTE
